Bundesland;Datum;Altersgrupppe;EW_Fallzahl
Baden-Württemberg;2020-08-20;00-19;47.125
Baden-Württemberg;2020-08-20;20-59;170.46
Baden-Württemberg;2020-08-20;60+;12.833
Baden-Württemberg;2020-08-21;00-19;41.158
Baden-Württemberg;2020-08-21;20-59;185.62
Baden-Württemberg;2020-08-21;60+;10.508
Baden-Württemberg;2020-08-22;00-19;50.925
Baden-Württemberg;2020-08-22;20-59;168.57
Baden-Württemberg;2020-08-22;60+;12.925
Baden-Württemberg;2020-08-23;00-19;47.325
Baden-Württemberg;2020-08-23;20-59;174.82
Baden-Württemberg;2020-08-23;60+;8.525
